H|1402|892.18|
B|468|8681598|210119656|3|22|Minute|LONG DISTANCE|L8R|0.11|USD|2012-01-06 11:59:13|2012-01-06 12:20:44|MTN|NX2BS||4156263939|18008999949||Participant 2|
N|468|8681598|210119656|4|22|Minute|PACKAGE SURCHARGE|RDYA|0.22|USD|2012-01-06 11:59:13|2012-01-06 12:20:44|MTN|NX2BS||4156263939|18008999949||Participant 2|
B|468|8681598|210119656|5|19|Minute|LONG DISTANCE|L8R|0.10|USD|2012-01-06 12:02:04|2012-01-06 12:20:43|MTN|NX2BS||3239882400|18008999949||Participant 3|
N|468|8681598|210119656|6|19|Minute|PACKAGE SURCHARGE|RDYA|0.19|USD|2012-01-06 12:02:04|2012-01-06 12:20:43|MTN|NX2BS||3239882400|18008999949||Participant 3|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580739|ALL CONFERENCING, 376921|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|376921||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210092151|||2012-01-06 09:26:38|MTN|2012-01-06 09:46:07|MTN||||||0|2346351|8008999949|9235349|
B|468|8681598|210092151|1|20|Minute|LONG DISTANCE|L8R|0.10|USD|2012-01-06 09:26:43|2012-01-06 09:45:59|MTN|TX02S||9413599648|3003066923||Participant 1|
N|468|8681598|210092151|2|20|Minute|PACKAGE SURCHARGE|RDYA|0.20|USD|2012-01-06 09:26:43|2012-01-06 09:45:59|MTN|TX02S||9413599648|3003066923||Participant 1|
B|468|8681598|210092151|3|17|Minute|LONG DISTANCE|L8R|0.09|USD|2012-01-06 09:29:32|2012-01-06 09:46:02|MTN|TX02S||9733774665|3003066923||Participant 2|
N|468|8681598|210092151|4|17|Minute|PACKAGE SURCHARGE|RDYA|0.17|USD|2012-01-06 09:29:32|2012-01-06 09:46:02|MTN|TX02S||9733774665|3003066923||Participant 2|
B|468|8681598|210092151|5|13|Minute|LONG DISTANCE|L8R|0.07|USD|2012-01-06 09:33:13|2012-01-06 09:46:00|MTN|TX02S||8173527000|3003066923||Participant 3|
N|468|8681598|210092151|6|13|Minute|PACKAGE SURCHARGE|RDYA|0.13|USD|2012-01-06 09:33:13|2012-01-06 09:46:00|MTN|TX02S||8173527000|3003066923||Participant 3|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580782|ALL CONFERENCING, 3807303|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|3807303||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210099619|||2012-01-06 08:55:19|MTN|2012-01-06 10:34:49|MTN||||||0|2344649|8008999949|3144924|
B|468|8681598|210099619|1|100|Minute|LONG DISTANCE|L8R|0.50|USD|2012-01-06 08:55:23|2012-01-06 10:34:46|MTN|NX03S||3407158516|18008999949||Participant 1|
N|468|8681598|210099619|2|100|Minute|PACKAGE SURCHARGE|RDYA|1.00|USD|2012-01-06 08:55:23|2012-01-06 10:34:46|MTN|NX03S||3407158516|18008999949||Participant 1|
B|468|8681598|210099619|3|94|Minute|LONG DISTANCE|L8R|0.47|USD|2012-01-06 09:01:05|2012-01-06 10:34:42|MTN|NX03S||7085889602|18008999949||Participant 2|
N|468|8681598|210099619|4|94|Minute|PACKAGE SURCHARGE|RDYA|0.94|USD|2012-01-06 09:01:05|2012-01-06 10:34:42|MTN|NX03S||7085889602|18008999949||Participant 2|
B|468|8681598|210099619|5|94|Minute|LONG DISTANCE|L8R|0.47|USD|2012-01-06 09:01:12|2012-01-06 10:34:42|MTN|NX03S||6024518849|18008999949||Participant 3|
N|468|8681598|210099619|6|94|Minute|PACKAGE SURCHARGE|RDYA|0.94|USD|2012-01-06 09:01:12|2012-01-06 10:34:42|MTN|NX03S||6024518849|18008999949||Participant 3|
B|468|8681598|210099619|7|72|Minute|LONG DISTANCE|L8R|0.36|USD|2012-01-06 09:08:03|2012-01-06 10:19:22|MTN|NX03S||7068200402|18008999949||Participant 4|
N|468|8681598|210099619|8|72|Minute|PACKAGE SURCHARGE|RDYA|0.72|USD|2012-01-06 09:08:03|2012-01-06 10:19:22|MTN|NX03S||7068200402|18008999949||Participant 4|
B|468|8681598|210099619|9|10|Minute|LONG DISTANCE|L8R|0.05|USD|2012-01-06 10:19:12|2012-01-06 10:28:36|MTN|NX03S||4235806900|18008999949||Participant 5|
N|468|8681598|210099619|10|10|Minute|PACKAGE SURCHARGE|RDYA|0.10|USD|2012-01-06 10:19:12|2012-01-06 10:28:36|MTN|NX03S||4235806900|18008999949||Participant 5|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1580920|ALL CONFERENCING, 395782|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|395782||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210153669|||2011-11-09 12:07:36|MTN|2011-11-09 12:07:36|MTN||||||0|2235513|8008999949|1547963|
N|468|8681598|210153669|1|8|Ordinal|VALUE ADDED SERVICE|RARH|4.00|USD|2011-11-09 12:07:36|2011-11-09 12:07:36||ARARC||||||
